Ime;Višinska_razlika;Zahtevnost;Čas 
Planina Rčitno;265;lahka označena pot;1 h
Planina Rčitno;450;lahka označena pot;1 h 45 min
Planina Sleme;548;lahka označena pot;1 h 40 min
Planina Sleme;1035;lahka označena pot;2 h 45 min
Planina Spodnja Grintovica;600;lahka označena pot;2 h 45 min
Planina Spodnja Grintovica;215;lahka neoznačena steza;1 h 45 min
Planina Suha;839;lahka označena pot;2 h 30 min
Planina Suha;335;lahka označena pot;1 h
Planina Suha;490;lahka neoznačena steza;3 h 10 min
Planina Suha;475;lahka neoznačena steza;2 h 55 min
Planina Suha;425;lahka neoznačena steza;3 h 15 min
Planina v Lazu;550;lahka označena pot;1 h 30 min
Planina v Lazu;500;lahka označena pot;2 h
Planina v Plazeh;600;lahka neoznačena steza;2 h 45 min
Planina v Plazeh;568;lahka neoznačena steza;2 h 20 min
Planina v Prodih;316;lahka neoznačena steza;55 min
Planina Viševnik;485;lahka označena pot;1 h 30 min
Planina Viševnik;350;lahka označena pot;1 h 20 min
Planina Viševnik;972;zahtevna označena pot;3 h
Planina Viševnik;500;lahka označena pot;1 h 40 min
Planina Vodični vrh;915;lahka označena pot;2 h 45 min
Planina Za Črno goro;615;lahka označena pot;1 h 40 min
Planina Za Črno goro;565;lahka označena pot;3 h 20 min
Planina Za Črno goro;830;lahka označena pot;2 h 15 min
Planina Za Črno goro;285;lahka označena pot;1 h 30 min
Planina Za Črno goro;800;lahka označena pot;3 h
Planina Za Črno goro;1050;lahka označena pot;3 h 45 min
Planina za Jamo;455;lahka označena pot;1 h 30 min
Planina za Migovcem;1030;lahka neoznačena steza;3 h
Planina za Migovcem;500;lahka označena pot;3 h 15 min
Planina za Migovcem;1150;lahka označena pot;4 h 15 min
Planina za Migovcem;1310;lahka označena pot;4 h 30 min
Planina za Migovcem;1400;lahka označena pot;5 h
Planina za Šavnikom;30;lahka neoznačena steza;15 min
Planina Za skalo;765;lahka označena pot;2 h 15 min
Planina Zadnji Vogel;843;lahka označena pot;2 h 30 min
Planina Zadnji Vogel;5;lahka označena pot;30 min
Planina Zagreben;770;delno zahtevna neoznačena pot;2 h 30 min
Planina Zajamniki;50;lahka označena pot;1 h 20 min
Planina Zajamniki;270;lahka označena pot;1 h 30 min
Planina Zajamniki;100;lahka označena pot;2 h
Planina Zajavornik;50;lahka označena pot;40 min
Planina Zapotok;440;zahtevna označena pot;1 h 40 min
Planina Zaprikraj;458;lahka označena pot;1 h 15 min
Planina Zgornja Grintovica;650;lahka neoznačena steza;3 h
Planina Zgornja Grintovica;215;lahka neoznačena steza;1 h 30 min
Planina Zgornja Krma;770;lahka označena pot;2 h 30 min
Planina Zgornji Kozjek;55;lahka neoznačena steza;20 min
Planinska koča Merjasec;1015;lahka označena pot;3 h
Planinska koča Merjasec;435;lahka označena pot;1 h 15 min
Planinska koča Merjasec;965;lahka označena pot;2 h 45 min
Planinsko zavetišče Slatna;170;lahka neoznačena steza;40 min
Planja;1825;zahtevna označena pot;5 h 45 min
Planja;1200;zahtevna označena pot;5 h 45 min
Planja;1600;zahtevna označena pot;6 h 15 min
Planja;1850;zelo zahtevna označena pot;6 h 55 min
Planja (nad Mangartsko planino);258;delno zahtevna neoznačena pot;45 min
Plaski Vogel;1680;zahtevno brezpotje;5 h 45 min
Plesišče;443;lahka označena pot, lahka neoznačena steza;1 h 15 min
Plešivec;790;delno zahtevna neoznačena pot;2 h
Plešivec (Loška stena);1404;zelo zahtevna označena pot, delno zahtevna neoznačena pot;3 h 45 min
Plešivec (Loška stena);1486;delno zahtevna neoznačena pot;4 h 30 min
Počitniški dom v Možnici;195;lahka označena pot;50 min
Podrta gora;755;zahtevno brezpotje;4 h 40 min
Podrta gora;1408;zahtevno brezpotje;7 h
Podrta gora;735;zelo zahtevna označena pot, zahtevno brezpotje;4 h 50 min
Pogačnikov dom na Kriških podih;1400;lahka označena pot;4 h
Pogačnikov dom na Kriških podih;1200;delno zahtevna označena pot;4 h 30 min
Pogačnikov dom na Kriških podih;1400;zelo zahtevna označena pot;5 h 10 min
Pogačnikov dom na Kriških podih;1550;zelo zahtevna označena pot;5 h 45 min
Poglejska cerkev;30;lahka označena pot;5 min
Pokljuška soteska (luknja);170;lahka označena pot;1 h
Police;244;lahka neoznačena steza;45 min
Poljanska baba;229;lahka označena pot;25 min
Poljanski vrh;1100;delno zahtevna označena pot, lahko brezpotje;3 h 30 min
Poljanski vrh;1500;delno zahtevna označena pot;4 h 45 min
Poljanski vrh;1340;delno zahtevna označena pot, lahko brezpotje;4 h 25 min
Poljanski vrh;1540;delno zahtevna označena pot, lahko brezpotje;4 h 35 min
Poprovec;1950;zahtevna označena pot, lahko brezpotje;6 h 50 min
Poprovec;1525;lahko brezpotje;6 h 20 min
Poprovec;1525;lahko brezpotje;6 h 35 min
Poštarski dom na Vršiču;77;lahka označena pot;20 min
Poštarski dom na Vršiču;462;lahka neoznačena steza;1 h 20 min
Poštarski dom na Vršiču;802;lahka označena pot;2 h 30 min
Poštarski dom na Vršiču;175;lahka označena pot;30 min
Poštarski dom na Vršiču;308;lahka označena pot;50 min
Poštarski dom na Vršiču;185;lahka označena pot;35 min
Požar;600;delno zahtevna neoznačena pot;2 h
Požar;950;delno zahtevna neoznačena pot;4 h
Požgana Mlinarica;927;lahko brezpotje;2 h 45 min
Požgana Mlinarica;1050;zahtevna neoznačena steza;4 h
Požgana Mlinarica;1450;zahtevna neoznačena steza;6 h 15 min
Prednje Robičje;330;lahka neoznačena steza;1 h
Prednje Robičje;416;lahka neoznačena steza;1 h 10 min
Prestreljenik;297;delno zahtevna označena pot;45 min
Prestreljenik;1350;zahtevna označena pot;4 h 15 min
Prestreljenik;1550;zahtevna označena pot;4 h 25 min
Prestreljenik;1350;zahtevna označena pot;3 h 45 min
Prestreljenik;1329;delno zahtevna označena pot;3 h 30 min
Prestreljenik;1590;zahtevna označena pot;5 h 45 min
Prestreljeniško okno;189;zahtevna označena pot;35 min
Prestreljeniško okno;1310;zelo zahtevna označena pot;4 h 45 min
Prestreljeniško okno;1291;zahtevna označena pot;4 h 30 min
Prevalski Stog;970;lahko brezpotje;3 h 40 min
Prevalski Stog;1000;delno zahtevna neoznačena pot;3 h 20 min
Prevalski Stog;1050;delno zahtevna neoznačena pot;5 h
Prevalski Stog;1525;delno zahtevna neoznačena pot;5 h 5 min
Prevalski Stog;1100;delno zahtevna neoznačena pot;5 h 20 min
Pri Banderi;1474;lahko brezpotje;3 h 40 min
Pri treh macesnih;1080;zelo zahtevna neoznačena steza;3 h 40 min
Prisank / Prisojnik;1000;zelo zahtevna označena pot;3 h 50 min
Prisank / Prisojnik;1000;zahtevna označena pot;3 h 30 min
Prisank / Prisojnik;1000;zelo zahtevna označena pot;3 h 30 min
Prisank / Prisojnik;1350;zelo zahtevna označena pot;5 h
Prisank / Prisojnik;1350;zelo zahtevna označena pot;6 h
Prisank / Prisojnik;1035;zahtevna označena pot;3 h 45 min
Prisank / Prisojnik;1035;zelo zahtevna označena pot;4 h
Prisank / Prisojnik;1035;zelo zahtevna označena pot;3 h 45 min
Prisank / Prisojnik;1085;zelo zahtevna označena pot;4 h 45 min
Prisank / Prisojnik;1365;zelo zahtevna označena pot;6 h 15 min
Prisank / Prisojnik;1100;zelo zahtevna označena pot;5 h
Pršivec;411;lahka označena pot;1 h 30 min
Pršivec;614;lahka označena pot;2 h 30 min
Pršivec;1161;lahka označena pot;3 h 45 min
Pršivec;570;lahka označena pot;2 h 20 min
Pršivec;1108;zahtevna označena pot;3 h 45 min
Pršivec;614;lahka označena pot;2 h 30 min
Pršivec;1250;izjemno zahtevna označena pot;5 h
Prvi Vogel;1034;lahko brezpotje;4 h
Prvi Vogel;1080;lahko brezpotje;4 h 45 min
Raskovec;800;lahko brezpotje;2 h 25 min
Raskovec;1050;lahka neoznačena steza;3 h 45 min
Raskovec;780;lahko brezpotje;2 h 40 min
Raskovec;1065;lahka neoznačena steza;3 h 30 min
Raskovec;915;lahko brezpotje;2 h 45 min
Raskovec;1290;lahko brezpotje;4 h 30 min
Razor;1990;zelo zahtevna označena pot;6 h
Razor;1350;zelo zahtevna označena pot;6 h
Razor;1850;zelo zahtevna označena pot;6 h 30 min
Razor;2000;zelo zahtevna označena pot;7 h 10 min
Rdeči rob;1500;lahko brezpotje;5 h 45 min
Rdeči rob;1600;lahka neoznačena steza;5 h
Rdeči rob;1456;lahka označena pot, delno zahtevna neoznačena pot;4 h 30 min
Rečiška planina;900;lahka označena pot;3 h 45 min
Rečiška planina;495;lahka neoznačena steza;2 h 10 min
Rečiška planina;295;lahka neoznačena steza;1 h 35 min
Rečiška planina;915;lahka označena pot;3 h 30 min
Ribenska gora;121;lahka označena pot;20 min
Rigeljc;700;lahko brezpotje;3 h
Rigljica;1500;alpinistični vzpon;5 h
Risnati rob (Polevec);768;lahko brezpotje;2 h
Risnati rob (Polevec);797;delno zahtevna neoznačena pot;2 h 15 min
Rjavina;1610;zelo zahtevna označena pot;5 h
Rjavina;1750;zahtevna označena pot;6 h
Rjavina;1630;zahtevno brezpotje;5 h 20 min
Rjavina;1700;zelo zahtevna označena pot;6 h
Rjavina;1700;zahtevna označena pot;6 h 30 min
Rjavina;1700;zahtevna označena pot;6 h 45 min
Rjavina;1750;zelo zahtevno brezpotje;8 h
Rjavina;1400;zahtevna označena pot;7 h 30 min
Rjavina;1450;zahtevna označena pot;7 h 50 min
Rjavo jezero;1150;lahka označena pot;4 h 45 min
Rjavo jezero;1400;zahtevna označena pot;4 h 45 min
Rjavo jezero;1200;delno zahtevna označena pot;5 h
Rjavo jezero;1030;lahka označena pot;5 h
Rodica;916;lahka označena pot;2 h 45 min
Rodica;936;lahka označena pot;2 h 30 min
Rodica;800;lahka označena pot;3 h
Rodica;1665;delno zahtevna označena pot;6 h 5 min
Rodica;1465;lahka označena pot;4 h 15 min
Rodica;935;lahka neoznačena steza;2 h 30 min
Rodica;1440;lahka neoznačena steza;4 h
Rodica;1241;lahka označena pot;3 h 30 min
Rodica;1275;lahka označena pot;4 h 15 min
Rogljica;1532;zelo zahtevno brezpotje;5 h 15 min
Rombon;1676;lahka označena pot;5 h
Rombon;1508;delno zahtevna označena pot;5 h
Rombon;550;delno zahtevna označena pot;5 h
Rombon;1400;delno zahtevna označena pot;6 h 45 min
Rombon;1400;delno zahtevna označena pot;6 h 30 min
Rudnica;445;lahka označena pot;1 h 15 min
Rudnica;400;lahka označena pot;1 h 40 min
Rudnica;450;lahka označena pot;1 h 45 min
Rudnica;390;lahka neoznačena steza;1 h 30 min
Rudnica;445;lahka označena pot;1 h 15 min
Rudnica;460;lahka označena pot;1 h 25 min
Rudnica;365;lahka neoznačena steza;1 h 30 min
Rudnica;455;lahka označena pot;1 h 25 min
Ruska kapelica;45;lahka označena pot;20 min
Rušnata glava;752;lahko brezpotje;2 h 50 min
Rušnata glava;1246;lahko brezpotje;3 h 45 min
Rušnata Mlinarica;935;zahtevna neoznačena steza;3 h
Rušnata Mlinarica;1318;zahtevna neoznačena steza;5 h 15 min
Rušnati vrh;650;lahko brezpotje;3 h 30 min
Rušnati vrh;1675;lahko brezpotje;6 h 30 min
Rušnati vrh;1470;lahko brezpotje;4 h 50 min
Rušni vrh;969;lahka neoznačena steza;2 h 20 min
Rušni vrh;1278;lahka neoznačena steza;3 h 5 min
Rušni vrh;1400;lahka neoznačena steza;3 h 20 min
Rušni vrh;1000;lahka neoznačena steza;4 h 50 min
Rušni vrh;1260;lahka neoznačena steza;4 h 30 min
Rušni vrh;715;lahka neoznačena steza;3 h
Rušni vrh;1540;lahka neoznačena steza;4 h 30 min
Rušni vrh;1095;lahka označena pot, lahka neoznačena steza;2 h 55 min
Rušni vrh;1085;lahka označena pot, lahka neoznačena steza;3 h 15 min
Rušni vrh;1285;lahka neoznačena steza;3 h 50 min
Rutarski Vršič;975;zahtevna označena pot, lahka neoznačena steza;3 h
Rutarski Vršič;1000;delno zahtevna neoznačena pot, lahko brezpotje;3 h
Rž;1588;zahtevno brezpotje;4 h 45 min
Rž;1523;zahtevno brezpotje;5 h 5 min
Rž;1523;zahtevno brezpotje;5 h 15 min
Rž;1725;zahtevno brezpotje;6 h
Šavnik;460;lahka označena pot;2 h
Šavnik;465;lahka označena pot;1 h 30 min
Šavnik;1059;lahka označena pot;3 h
Šavnik;301;lahka označena pot;45 min
Šavnik;284;lahka neoznačena steza;50 min
Šavnik;800;lahka označena pot;2 h 15 min
Šija;415;lahka označena pot;1 h 30 min
Šija;900;lahka označena pot;2 h 30 min
Šija;1350;lahka označena pot;4 h 25 min
Šija;830;lahka neoznačena steza;2 h 40 min
Šija;1325;lahka označena pot;4 h
Široka peč;1750;zelo zahtevno brezpotje;5 h
Šitna glava;476;lahka neoznačena steza;1 h 20 min
Škednjovec;1162;zelo zahtevno brezpotje;4 h 30 min
Škednjovec;1162;zelo zahtevno brezpotje;5 h
Škraplja;884;delno zahtevna označena pot;2 h 30 min
Škrbina (Mežakla);630;lahka označena pot;1 h 40 min
Škrbina (Mežakla);630;zahtevno brezpotje;1 h 40 min
Škrlatica;1800;zelo zahtevna označena pot;6 h
Škrlatica;2250;zelo zahtevna označena pot;7 h 30 min
Škrlatica;2440;zelo zahtevna označena pot;8 h 45 min
Škrlatica;3800;alpinistični vzpon;14 h 30 min
Škrlatica;1890;zelo zahtevna označena pot;8 h 5 min
Skutnik /Monte Guarda;1066;lahka označena pot;3 h 45 min
Skutnik/Torre Guarda;565;delno zahtevna neoznačena pot;2 h
Slap Beri;54;zahtevna označena pot;30 min
Slap Boka;300;lahka označena pot;40 min
Slap Boka;300;zahtevno brezpotje;1 h 15 min
Slap Mali Kozjak;30;lahka označena pot;20 min
Slap Mostnice;188;lahka označena pot;1 h 20 min
Slap Parabola;100;lahka označena pot;25 min
Slap Peričnik - spodnji slap;50;lahka označena pot;10 min
Slap Peričnik - spodnji slap;120;lahka označena pot;55 min
Slap Peričnik - spodnji slap;115;lahka označena pot;50 min
Slap Peričnik - zgornji slap;100;lahka označena pot;15 min
Slap Savica;141;lahka označena pot;20 min
Slap Slatenik;450;zahtevna neoznačena steza;1 h 45 min
Slap Sopota (Soupat);90;lahka označena pot;12 min
Slap Suha;350;lahka neoznačena steza;1 h 45 min
Slap Šum v Blejskem Vintgarju;40;lahka neoznačena steza;30 min
Slap Veliki Kozjak;50;lahka označena pot;25 min
Slap Virje;-50;lahka označena pot;10 min
Slapovi v Kotu;170;lahka neoznačena steza;1 h
Slatna;930;lahko brezpotje;3 h
Slatna;950;lahko brezpotje;3 h 20 min
Slatna;940;lahka neoznačena steza;3 h 45 min
Slatnik (jugovzhodni vrh);320;lahka označena pot;1 h 5 min
Slatnik (jugovzhodni vrh);330;lahka označena pot;1 h 10 min
Slatnik (jugovzhodni vrh);1105;lahka označena pot;3 h 25 min
Slatnik (jugovzhodni vrh);810;lahka označena pot;2 h 5 min
Slatnik (jugovzhodni vrh);1100;lahka označena pot;3 h
Slatnik (severozahodni vrh);350;lahka neoznačena steza;1 h 15 min
Slatnik (severozahodni vrh);332;lahka neoznačena steza;1 h
Slatnik (severozahodni vrh);1105;lahka označena pot;3 h 15 min
Slatnik (severozahodni vrh);810;lahka označena pot;2 h 15 min
Slatnik (severozahodni vrh);1105;lahka označena pot;3 h 10 min
Sleme;1402;lahka označena pot;4 h 15 min
Sleme;1255;delno zahtevna neoznačena pot, lahka označena pot;4 h 25 min
Sleme;1200;zahtevna neoznačena steza, lahka označena pot;4 h
Slemenova špica;350;lahka označena pot;1 h 15 min
Slemenova špica;803;lahka označena pot;2 h 10 min
Slemenova špica;803;zahtevna označena pot;2 h 10 min
Slemenova špica;430;lahka označena pot;1 h 25 min
Slemenova špica;1100;delno zahtevna neoznačena pot, zahtevna označena pot;3 h 45 min
Slemenova špica;1075;lahka označena pot;3 h 25 min
Šmarjetna glava;1315;zahtevno brezpotje;5 h 40 min
Šmarjetna glava;1715;zahtevno brezpotje;6 h
Šmarjetna glava;1725;zahtevno brezpotje;6 h 10 min
Šmarjetna glava;1700;zahtevno brezpotje;6 h 55 min
Šmihelovec;1255;zahtevno brezpotje, zahtevna označena pot;4 h 20 min
Šmihelovec;1565;zahtevno brezpotje, zelo zahtevna označena pot;6 h 50 min
Snežna jama na Mežakli;740;lahka označena pot;2 h 30 min
Sovna glava;139;lahka označena pot;30 min
Sovna glava;385;lahka označena pot;1 h 10 min
Sovna glava;864;lahka označena pot;2 h 40 min
Sovna glava;240;lahka označena pot;50 min
Sovna glava;245;lahka označena pot;45 min
Špik;1602;zahtevna označena pot;4 h 45 min
Špik;1600;zelo zahtevna označena pot;5 h
Špik;1585;zahtevna označena pot;4 h 50 min
Špik;1750;zelo zahtevna označena pot;5 h 30 min
Šplevta;1331;zahtevna neoznačena steza;4 h 45 min
Šplevta;1331;zahtevna neoznačena steza;4 h 30 min
Šplevta (Indijanec);1760;lahko brezpotje;5 h 30 min
Šplevta (Indijanec);1565;delno zahtevna označena pot, lahko brezpotje;6 h
Spodnja Vrbanova špica;1350;zelo zahtevna označena pot;4 h
Spodnje Kriško jezero;1230;lahka označena pot;3 h 40 min
Spodnji Goreljek (Pokljuka);260;lahka neoznačena steza;1 h 10 min
Spodnji Martuljkov slap;100;lahka označena pot;30 min
Spodnji Rokav;1500;alpinistični vzpon;5 h
Spodnji Stenar;1350;delno zahtevna označena pot, lahko brezpotje;5 h
Spominsko obeležje Aleš Kunaver;120;lahka neoznačena steza;25 min
Srednja Ponca;1120;zahtevna označena pot;3 h 15 min
Srednja Ponca;1299;zelo zahtevna označena pot;3 h 45 min
Srednji Selišnik;550;lahko brezpotje;2 h 15 min
Srednji Vogel;1079;lahko brezpotje;4 h
Srednji Vogel;1125;lahko brezpotje;4 h 45 min
Srednji vrh (na Matajurju);460;lahka označena pot;1 h 20 min
Srednji vrh (nad jezerom v Lužnici);1250;lahka označena pot, lahko brezpotje;4 h 10 min
Srednji vrh (nad jezerom v Lužnici);1650;lahka označena pot, lahko brezpotje;5 h 15 min
Srednji vrh (nad jezerom v Lužnici);1085;lahka označena pot, lahko brezpotje;3 h 30 min
Stadorski Orliči;700;zahtevno brezpotje;3 h
Stara koča na Kaninu;740;lahka označena pot;2 h 10 min
Stenar;1500;delno zahtevna označena pot;5 h 15 min
Stenar;1890;lahka označena pot;6 h
Stenar;1486;zahtevna neoznačena steza;5 h
Stenar;1750;zelo zahtevna označena pot;6 h 15 min
Stenar;1810;zelo zahtevna označena pot;6 h 50 min
Stol (Julijske Alpe);1145;delno zahtevna označena pot;3 h 10 min
Stol (Julijske Alpe);1500;lahka označena pot;4 h 15 min
Stol (Julijske Alpe);1332;lahka označena pot;4 h
Stol (Julijske Alpe);1300;delno zahtevna označena pot;4 h 45 min
Straža;136;lahka označena pot;30 min
Strug;1600;izjemno zahtevna označena pot;9 h
Studor;440;lahka neoznačena steza, lahko brezpotje;1 h 30 min
Studor;430;lahka neoznačena steza, lahko brezpotje;1 h 30 min
Studorski preval;552;lahka označena pot;2 h
Suha Rodica (Novi vrh);1000;lahko brezpotje;3 h 30 min
Suha Rodica (Novi vrh);955;lahko brezpotje;3 h 15 min
Suha Rodica (Novi vrh);950;lahko brezpotje;3 h 15 min
Suha Rodica (Novi vrh);1260;lahko brezpotje;4 h 15 min
Suhi vrh;600;zahtevno brezpotje;2 h 15 min
Sv. Peter in Pavel (Perati);120;lahka označena pot;20 min
Sveta Katarina na Homu;154;lahka neoznačena steza;50 min
Sveta Katarina na Homu;44;lahka neoznačena steza;45 min
Sveta Marjeta pod Stolom;423;lahka označena pot;1 h 15 min
Sveti Janez Krstnik (Ribčev Laz);65;lahka označena pot;3 h 15 min
Sveti Lenart (Bača pri Podbrdu);236;lahka označena pot;30 min
Sveti Lenart (Bodešče);59;lahka označena pot;35 min
Sveti Lenart (Bodešče);40;lahka označena pot;10 min
Svinjak;1193;delno zahtevna označena pot;3 h 15 min
Svinska planina;964;lahka označena pot;2 h 40 min
Teme;1230;zahtevno brezpotje;4 h 20 min
Teme (Hribarice);1500;lahko brezpotje;6 h 5 min
Teme (Hribarice);1500;lahko brezpotje;6 h 20 min
Tičarjev dom na Vršiču;725;zahtevna označena pot;3 h
Tičarjev dom na Vršiču;93;lahka označena pot;20 min
Tičarjev dom na Vršiču;732;lahka označena pot;2 h 10 min
Tolminski Kuk;1100;delno zahtevna označena pot;4 h 30 min
Tolminski Kuk;1800;zahtevna označena pot;6 h 15 min
Tolminski Kuk;1600;zahtevna neoznačena steza;5 h 45 min
Tolminski Kuk;1750;delno zahtevna označena pot;6 h 45 min
Tolminski Kuk;1315;zahtevna označena pot;4 h 45 min
Tolminski Kuk;1000;delno zahtevna označena pot;5 h 35 min
Tolminski Kuk;1625;lahka neoznačena steza, delno zahtevna označena pot;5 h 30 min
Tolminski Kuk;1161;lahka označena pot;4 h
Tolminski Kuk;1850;lahko brezpotje, zahtevna označena pot;6 h 15 min
Tolminski Kuk;1580;lahka neoznačena steza, delno zahtevna označena pot;6 h 15 min
Tolminski Kuk;1315;delno zahtevna označena pot;4 h 35 min
Tolminski Migovec;944;lahko brezpotje;3 h
Tonkina koča na Vršiču;154;lahka označena pot;30 min
Tonovcov grad pri Kobaridu;150;lahka označena pot;20 min
Tosc;950;lahka neoznačena steza;3 h 45 min
Tosc;1200;zahtevna označena pot, lahka neoznačena steza;4 h 15 min
Tosc;1000;lahko brezpotje;4 h 5 min
Tosc;1340;zahtevna označena pot, lahka neoznačena steza;4 h 20 min
Tosc;1330;delno zahtevna označena pot, zelo zahtevno brezpotje;5 h
Tosc;1850;zahtevna označena pot, lahka neoznačena steza;5 h 45 min
Travnik;1530;zahtevna neoznačena steza, lahko brezpotje;4 h 45 min
Travnik (pri Mojstrovkah);950;zahtevno brezpotje;4 h 30 min
Travnik (pri Mojstrovkah);915;delno zahtevna označena pot, zahtevno brezpotje;4 h 20 min
Trentski Pelc;1541;zelo zahtevno brezpotje;4 h 30 min
Triglav;1860;zelo zahtevna označena pot;6 h
Triglav;1650;zelo zahtevna označena pot;6 h
Triglav;1955;zelo zahtevna označena pot;6 h 10 min
Triglav;1849;zelo zahtevna označena pot;6 h 30 min
Triglav;1860;zelo zahtevna označena pot;6 h 10 min
Triglav;1934;zelo zahtevna označena pot;6 h
Triglav;2530;zelo zahtevna označena pot;8 h 45 min
Triglav;2215;zelo zahtevna označena pot;7 h 15 min
Triglav;1800;zelo zahtevna označena pot;6 h 30 min
Triglav;1650;zelo zahtevna označena pot;5 h 45 min
Triglav;1650;zelo zahtevna označena pot;6 h 10 min
Triglav;2050;zelo zahtevna označena pot;6 h 10 min
Triglav;1934;zelo zahtevna označena pot;5 h 45 min
Triglav;2000;lahko brezpotje, zelo zahtevna označena pot;6 h 20 min
Triglav;2215;zelo zahtevna označena pot;7 h 15 min
Triglav;2000;zahtevno brezpotje, zelo zahtevna označena pot;7 h 30 min
Triglav;1880;lahka neoznačena steza, zelo zahtevna označena pot;6 h 45 min
Triglav;1900;zelo zahtevna označena pot;6 h 15 min
Triglav;2400;zelo zahtevna označena pot;7 h 45 min
Triglav;2215;zelo zahtevna označena pot;7 h 15 min
Triglav;2000;zelo zahtevna označena pot;7 h 45 min
Triglav;2264;zelo zahtevna označena pot;7 h 30 min
Triglav;1750;zelo zahtevna označena pot;6 h
Triglav;1775;zelo zahtevna označena pot;6 h 20 min
Triglav;2214;zelo zahtevna označena pot, zahtevna neoznačena steza;7 h 30 min
Triglav;2000;zelo zahtevna označena pot;6 h 20 min
Triglav;2485;zelo zahtevna označena pot;7 h 45 min
Triglavski dom na Kredarici;1571;lahka označena pot;5 h
Triglavski dom na Kredarici;1500;zahtevna označena pot;5 h 20 min
Triglavski dom na Kredarici;1500;zelo zahtevna označena pot;4 h 50 min
Triglavski dom na Kredarici;1500;zahtevna označena pot;5 h
Triglavski dom na Kredarici;1400;zahtevna označena pot;5 h
Triglavski dom na Kredarici;1700;zahtevna označena pot;5 h
Triglavski dom na Kredarici;1990;zahtevna označena pot;7 h 30 min
Triglavski dom na Kredarici;1640;zahtevna označena pot;5 h 35 min
Triglavski dom na Kredarici;1525;zahtevna označena pot;5 h 30 min
Turn (nad Bohinjsko Belo);415;lahka neoznačena steza;1 h 40 min
Turn (nad Bohinjsko Belo);790;lahka neoznačena steza;3 h 15 min
Turn (nad Bohinjsko Belo);40;lahka neoznačena steza;30 min
Turn (nad Bohinjsko Belo);250;lahka neoznačena steza;1 h 40 min
Turn (nad Bohinjsko Belo);115;lahka neoznačena steza;40 min
Velika Baba;1340;lahka označena pot;4 h
Velika Baba;1515;lahko brezpotje;6 h
Velika Baba;1500;lahka neoznačena steza;5 h 35 min
Velika Baba;1615;lahka neoznačena steza;5 h 40 min
Velika Baba (Kanin);1079;zahtevna označena pot;3 h 15 min
Velika Črnelska špica;650;zahtevna označena pot;3 h
Velika Črnelska špica;1450;zahtevna označena pot;4 h 45 min
Velika Črnelska špica;1465;zahtevna označena pot;4 h 30 min
Velika Glava;1255;lahka označena pot, lahka neoznačena steza;4 h
Velika Glava;1269;delno zahtevna neoznačena pot;4 h
Velika korita Soče;50;lahka označena pot;20 min
Velika Martuljška Ponca;1800;zelo zahtevno brezpotje;7 h
Velika Mojstrovka;800;zahtevna neoznačena steza;2 h 30 min
Velika Montura;1275;lahka neoznačena steza;3 h 55 min
Velika Montura;1540;lahka neoznačena steza;5 h 30 min
Velika Tičarica;975;zahtevno brezpotje;3 h 50 min
Velika Tičarica;1438;zahtevno brezpotje;4 h 20 min
Velika Tičarica;930;zahtevno brezpotje;3 h 45 min
Velika Zelnarica;1173;lahka neoznačena steza;4 h 30 min
Velika Zelnarica;1500;delno zahtevna označena pot, lahko brezpotje;6 h
Velika Zelnarica;1700;zahtevna označena pot, lahko brezpotje;6 h
Velika Zelnarica;1900;zahtevna označena pot, lahko brezpotje;6 h 15 min
Veliki Babanski Skedenj;1056;delno zahtevna neoznačena pot;3 h 30 min
Veliki Draški vrh;903;delno zahtevna neoznačena pot;3 h
Veliki Draški vrh;940;zahtevna označena pot, delno zahtevna neoznačena pot;3 h 30 min
Veliki Draški vrh;930;delno zahtevna neoznačena pot;3 h 20 min
Veliki Draški vrh;1200;zahtevna označena pot, delno zahtevna neoznačena pot;4 h 15 min
Veliki Draški vrh;903;zahtevno brezpotje;3 h 15 min
Veliki Draški vrh;1080;delno zahtevna neoznačena pot;3 h 35 min
Veliki Draški vrh;1195;delno zahtevna neoznačena pot;3 h 55 min
Veliki Draški vrh;1370;zahtevna označena pot, delno zahtevna neoznačena pot;4 h 15 min
Veliki Draški vrh;1875;zahtevna označena pot, delno zahtevna neoznačena pot;5 h 40 min
Veliki Draški vrh;1695;delno zahtevna neoznačena pot;5 h 20 min
Veliki Lemež;1460;zahtevno brezpotje;4 h 30 min
Veliki Lemež;1710;zahtevno brezpotje;6 h
Veliki Oltar;1680;zelo zahtevno brezpotje;6 h
Veliki Oltar;1820;alpinistični vzpon;6 h
Veliki Ozebnik;1200;zahtevno brezpotje;5 h 30 min
Veliki Ozebnik;1250;zahtevno brezpotje;6 h
Veliki Ozebnik;1580;zahtevno brezpotje;5 h 30 min
Veliki Ozebnik;1580;zahtevno brezpotje;5 h 30 min
Veliki Pršivec;1112;lahko brezpotje;4 h
Veliki Selišnik;605;lahko brezpotje;2 h 10 min
Veliki Šmohor;1300;lahko brezpotje;4 h 30 min
Veliki Šmohor;1244;lahko brezpotje;4 h 30 min
Veliki vrh (Polovnik);1415;delno zahtevna neoznačena pot;5 h 30 min
Veliko Špičje;1745;zahtevna označena pot;5 h 30 min
Veliko Špičje;1900;zahtevna označena pot;7 h 15 min
Veliko Špičje;1525;zahtevna označena pot;5 h 45 min
Veliko Špičje;1600;zahtevna označena pot;7 h 15 min
